name;vicinity;geometry;place_id;rating;user_ratings_total;formatted_phone_number;website;Colonna1;Colonna2;Email
"""100 House WIFI UNLIMITED";Via Manzoni - Ang. Vico Dott, Via Francesco Calamo, 1, Ostuni;{'location': {'lat': 40.7299408, 'lng': 17.5758207}, 'viewport': {'northeast': {'lat': 40.7312966802915, 'lng': 17.5771703302915}, 'southwest': {'lat': 40.7285987197085, 'lng': 17.5744723697085}}};ChIJVScxI1hDRhMRxwDiod7Q3HM;5;2;;;1;2483;x
"""Casa di Angelica"" - un'oasi di pace a 300m dal mare";via beneficati rossi, Padula Bianca;{'location': {'lat': 40.096985, 'lng': 18.0159981}, 'viewport': {'northeast': {'lat': 40.0983339802915, 'lng': 18.01734708029151}, 'southwest': {'lat': 40.0956360197085, 'lng': 18.0146491197085}}};ChIJtbQWHDOnRhMRDxiCtYIEaIM;5;4;349 518 8871;http://www.acasadiangelica.com/;FALSO;2483;x
"""Casa di Rosa""";Via Barletta, 20/A, Margherita di Savoia;{'location': {'lat': 41.36710009999999, 'lng': 16.16266079999999}, 'viewport': {'northeast': {'lat': 41.3685887302915, 'lng': 16.1641647302915}, 'southwest': {'lat': 41.3658907697085, 'lng': 16.1614667697085}}};ChIJ5cXYRIEfOBMRi8dOqBrlja8;46;19;388 561 3708;http://casadirosamargherita.com.es/;FALSO;2483;x
"""In canoa Inn"" Luxury Apartments Gruppo Albergo Lamanna";Via Calata Livezza, 37, Taranto;{'location': {'lat': 40.4125815, 'lng': 17.211994}, 'viewport': {'northeast': {'lat': 40.4140319802915, 'lng': 17.2133670802915}, 'southwest': {'lat': 40.41133401970851, 'lng': 17.2106691197085}}};ChIJS5bEt2UcRxMR43YLleo1f-o;43;12;347 442 8442;http://www.albergolamanna.it/;FALSO;2483;albergolamanna@libero.it
"""La Perla "" casa vacanze";Via Forleo Braida, 130, Francavilla Fontana;{'location': {'lat': 40.5314793, 'lng': 17.5757117}, 'viewport': {'northeast': {'lat': 40.5327884302915, 'lng': 17.5770666802915}, 'southwest': {'lat': 40.5300904697085, 'lng': 17.5743687197085}}};ChIJ912TvW_1RhMR15quHonZbdk;5;12;380 770 7128;;1;2483;x
"""Le Casette nel Rione"" casa vacanza a Monte Sant'Angelo, (CIS): FG07103391000031329 Dormire a Monte Sant'Angelo";Via Ortolani, 34, Monte Sant'Angelo;{'location': {'lat': 41.7052627, 'lng': 15.9540162}, 'viewport': {'northeast': {'lat': 41.7065973302915, 'lng': 15.9553740802915}, 'southwest': {'lat': 41.7038993697085, 'lng': 15.9526761197085}}};ChIJh8OlQ6WZNxMRUzAdkkK5oUk;48;24;328 955 9567;https://www.lecasettenelrione.it/dormire-a-monte-santangelo/;FALSO;2483;x
"""Nunnu Pati"" Apartment";Via San Tommaso D'Aquino, 34, Ugento;{'location': {'lat': 39.9300851, 'lng': 18.1579538}, 'viewport': {'northeast': {'lat': 39.93141568029149, 'lng': 18.1593129802915}, 'southwest': {'lat': 39.92871771970849, 'lng': 18.15661501970849}}};ChIJMwWN0xMERBMR_pDSXrqBQDA;5;3;347 121 6606;;1;2483;x
"""San Francesco"" Bed & Breakfast";Via Sant'Andrea, 6, Altamura;{'location': {'lat': 40.8258505, 'lng': 16.5530582}, 'viewport': {'northeast': {'lat': 40.8272730302915, 'lng': 16.5543459802915}, 'southwest': {'lat': 40.8245750697085, 'lng': 16.55164801970849}}};ChIJ9UWwBnKHRxMRDGeqo42GXK8;44;58;080 311 5703;http://www.sanfrancescoaltamura.it/;FALSO;2483;x
@VillettA3SantaMariadiLeuca;Via Quinto Ennio, 84, Santa Maria di Leuca;{'location': {'lat': 39.8007269, 'lng': 18.3578095}, 'viewport': {'northeast': {'lat': 39.80206258029149, 'lng': 18.3591038802915}, 'southwest': {'lat': 39.79936461970849, 'lng': 18.3564059197085}}};ChIJty1x8d_1QxMR5BssNB_Q1Fg;;;;;1;2483;x
100 Craste;Corso Giuseppe Garibaldi, 26, Ugento;{'location': {'lat': 39.93058799999999, 'lng': 18.163013}, 'viewport': {'northeast': {'lat': 39.93197878029149, 'lng': 18.1643564302915}, 'southwest': {'lat': 39.9292808197085, 'lng': 18.1616584697085}}};ChIJD5eqTxQERBMRfyDpLf0pT1g;44;19;320 210 6341;https://100craste.traveleto.com/;FALSO;2483;x
12 Passi dal Mare;Lungomare Cristoforo Colombo, 250, Bari;{'location': {'lat': 41.16716529999999, 'lng': 16.743385}, 'viewport': {'northeast': {'lat': 41.16849533029149, 'lng': 16.7448284802915}, 'southwest': {'lat': 41.16579736970849, 'lng': 16.7421305197085}}};ChIJN9mNUYblRxMRmTwCysEIolE;5;1;347 635 2979;https://www.12passidalmare.wordpress.com/;FALSO;2483;x
1562 B&B La Casetta nel Borgo;Claustro Oreste, 4, Altamura;{'location': {'lat': 40.8272238, 'lng': 16.550452}, 'viewport': {'northeast': {'lat': 40.8285711302915, 'lng': 16.5518491302915}, 'southwest': {'lat': 40.8258731697085, 'lng': 16.5491511697085}}};ChIJuXv-t3GHRxMRwO8d84TyrQE;49;15;340 506 8733;https://www.facebook.com/1562bnb/;FALSO;2483;x
18 Mq Gruppo De Falconibus;Via Gorizia, 14, Pulsano;{'location': {'lat': 40.3838167, 'lng': 17.3551252}, 'viewport': {'northeast': {'lat': 40.3851692802915, 'lng': 17.3564506302915}, 'southwest': {'lat': 40.3824713197085, 'lng': 17.3537526697085}}};ChIJz1Mz5-PhRhMRZYeKBylw1xI;5;2;393 804 6404;https://bbpl.it/P02tJNn;FALSO;2483;x
1820 Marè;Lungomare M. Colonna, 72, Molfetta;{'location': {'lat': 41.2029515, 'lng': 16.6035269}, 'viewport': {'northeast': {'lat': 41.2043260302915, 'lng': 16.6049045802915}, 'southwest': {'lat': 41.20162806970851, 'lng': 16.6022066197085}}};ChIJ4-O6hcH5RxMR63YNlaUD6cI;47;3;347 515 0686;https://1820-mar.paradisoitalia.top/;FALSO;2483;x
18zero2 luxury rooms;Via dei Pescatori, 15, Bari;{'location': {'lat': 41.0874311, 'lng': 17.0014934}, 'viewport': {'northeast': {'lat': 41.0887798302915, 'lng': 17.0028434802915}, 'southwest': {'lat': 41.0860818697085, 'lng': 17.0001455197085}}};ChIJ6xpuOCjDRxMRFzJg19jTess;5;1;320 428 7880;;1;2483;x
19 73 rooms;Via Rovigo, 81/interno 6, Altamura;{'location': {'lat': 40.82421710000001, 'lng': 16.5623185}, 'viewport': {'northeast': {'lat': 40.8254859802915, 'lng': 16.5638038302915}, 'southwest': {'lat': 40.8227880197085, 'lng': 16.5611058697085}}};ChIJP3m1dhKHRxMRtciKCxqtD4g;43;3;389 839 0537;;1;2483;x
200 m from the beach - WiFi - Air Conditioning;Via Tauro Gioia, 34, San Pietro In Bevagna;{'location': {'lat': 40.303041, 'lng': 17.71401209999999}, 'viewport': {'northeast': {'lat': 40.3043819302915, 'lng': 17.7153587802915}, 'southwest': {'lat': 40.30168396970851, 'lng': 17.7126608197085}}};ChIJn2xRE3SVRhMRAngtk-mwcpo;;;;;1;2483;x
200 Rooms & Terrace;Via Beata Elia di San Clemente, 200, Bari;{'location': {'lat': 41.1194198, 'lng': 16.8659384}, 'viewport': {'northeast': {'lat': 41.12076418029149, 'lng': 16.8672000802915}, 'southwest': {'lat': 41.11806621970849, 'lng': 16.8645021197085}}};ChIJYWZIb1_oRxMRfDYH3zpok3M;48;113;329 618 4246;http://200roomsandterrace.com/;FALSO;2483;x
3S;Via Pietra Rossa, 3, Cucco-riviere;{'location': {'lat': 39.69681550000001, 'lng': 15.8175457}, 'viewport': {'northeast': {'lat': 39.6981728302915, 'lng': 15.81888818029151}, 'southwest': {'lat': 39.69547486970851, 'lng': 15.8161902197085}}};ChIJ-So6MUQDPxMRoVBuS7eJFXQ;;;335 673 1009;http://www.destinazionediamante.com/;FALSO;2483;info@cristinahotel.com
45 giri;Via Pontinia, 57, Brindisi;{'location': {'lat': 40.6325671, 'lng': 17.9238757}, 'viewport': {'northeast': {'lat': 40.6339334802915, 'lng': 17.9252573302915}, 'southwest': {'lat': 40.6312355197085, 'lng': 17.92255936970849}}};ChIJFeHu1Uh6RhMRldcC0wKu_gI;33;4;347 486 7895;;1;2483;x
4essences;Via Santavenere, 54, Maratea;{'location': {'lat': 39.99506450000001, 'lng': 15.7042097}, 'viewport': {'northeast': {'lat': 39.99652278029151, 'lng': 15.7055586802915}, 'southwest': {'lat': 39.99382481970851, 'lng': 15.7028607197085}}};ChIJm7uFenDZPhMRH7DH73urxCs;47;43;376 072 4375;http://www.4essences.it/;FALSO;2483;x
4ROOMS b&b - HOLIDAY HOME;Via Raffaele Matarazzo, 15, Lamezia Terme;{'location': {'lat': 38.9750582, 'lng': 16.3164129}, 'viewport': {'northeast': {'lat': 38.9764046302915, 'lng': 16.31779773029151}, 'southwest': {'lat': 38.9737066697085, 'lng': 16.3150997697085}}};ChIJhxgVyW7lPxMRdk1W1VmP24M;49;16;328 746 3449;;1;2483;x
4-star Hotel Orion Villammare Vibonati Cilento;Via Carlo Pisacane, 69, Villammare;{'location': {'lat': 40.0746504, 'lng': 15.6053816}, 'viewport': {'northeast': {'lat': 40.07584888029149, 'lng': 15.6066614302915}, 'southwest': {'lat': 40.07315091970849, 'lng': 15.6039634697085}}};ChIJuYoz1BjQPhMRSp8JsiUh5_8;36;140;0973 296469;http://www.hotelorionvillammare.it/;FALSO;2483;info@hotelorionvillammare.it
501 Hotel;Viale E. Bucciarelli, 14, Vibo Valentia;{'location': {'lat': 38.68354110000001, 'lng': 16.1031722}, 'viewport': {'northeast': {'lat': 38.68492088029151, 'lng': 16.1042243302915}, 'southwest': {'lat': 38.68222291970851, 'lng': 16.1015263697085}}};ChIJ0SUQCY9oFRMRh3R1C_5-DX8;42;759;0963 580808;https://hotel501.com/;FALSO;2483;x
60Quattro bedrooms;Strada Provinciale Savutano, 18/b, Lamezia Terme;{'location': {'lat': 38.95501590000001, 'lng': 16.2866092}, 'viewport': {'northeast': {'lat': 38.9563887302915, 'lng': 16.2881481802915}, 'southwest': {'lat': 38.9536907697085, 'lng': 16.2854502197085}}};ChIJl_Y7fbLlPxMRilhnIXD-suc;48;37;346 477 8152;http://60quattro-bedrooms.com.es/;FALSO;2483;x
7 Camere;Via Guglielmo Marconi, 9, Gravina in Puglia;{'location': {'lat': 40.8168322, 'lng': 16.4147906}, 'viewport': {'northeast': {'lat': 40.81817863029151, 'lng': 16.4161441302915}, 'southwest': {'lat': 40.81548066970851, 'lng': 16.4134461697085}}};ChIJK0g2hYp7OBMRrf05wFhW-kw;48;9;080 326 4471;;1;2483;x
70's Luxury Cavour;Corso Cavour, 110, Bari;{'location': {'lat': 41.1207085, 'lng': 16.8727336}, 'viewport': {'northeast': {'lat': 41.1220534302915, 'lng': 16.8740052302915}, 'southwest': {'lat': 41.1193554697085, 'lng': 16.8713072697085}}};ChIJkwRvlV3oRxMRWHNLwAzBhZk;5;16;334 999 7161;http://www.70sluxurycavour.com/;FALSO;2483;x
8piuhotel;Viale del Risorgimento, Lecce;{'location': {'lat': 40.3620641, 'lng': 18.1573173}, 'viewport': {'northeast': {'lat': 40.3632266802915, 'lng': 18.15872003029151}, 'southwest': {'lat': 40.3605287197085, 'lng': 18.1560220697085}}};ChIJG9XLP8QuRBMRX24p_XwzzLA;47;1389;0832 306686;https://www.8piuhotel.it/;FALSO;2483;bookinglecce@8piuhotel.com
